treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
15,42,398,0.1513883605933815,0.4755077658303465,13.622239400347109,2.611703707201997,0.1297262059973924,0.1508568144146989,2.760538302152634,2.858682610498394,strict_positive
15,30,273,0.103841764929631,0.1771576898118105,5.0751736052402086,1.6243607322718785,0.0700538876058506,0.10352580800149289,1.7099262388434067,2.0284812056044705,strict_positive
156,157,12,1.0,1.0,6276.25,8.744527947348915,1.0,0.5455269685502707,8.926982271004457,4.3577157944174125,strict_positive
16,122,58,0.0238486842105263,1.0,30.968338815789476,3.432965354050858,0.0238486842105263,0.02375417730924602,3.4522651705028005,2.756359700804697,positive
17,99,44,0.0188922284242164,0.4150943396226415,13.423284752545833,2.5969908670587687,0.0184023421162693,0.01881747508405413,2.6106145510423078,2.0944752801110367,positive
17,52,31,0.0133104336625161,0.0540069686411149,1.7464726677567948,0.5575981354181544,0.0107938718662952,0.013286110832721184,0.5614937594762122,0.7334074955170068,positive
18,21,2031,0.9363762102351314,1.0,34.72337482710927,3.547413086310041,0.9363762102351314,0.9322026927016672,6.2068418151163876,4.936240357253221,strict_positive
18,90,137,0.0631627478100507,1.0,34.72337482710927,3.547413086310041,0.0631627478100507,0.0628812254555039,3.60607059018548,3.2035539214903035,strict_positive
2,15,1940,0.2846661775495231,0.7379231647014074,8.15505255311614,2.098637680333775,0.2585287846481876,0.2843002296338285,2.3963153105135366,2.8399446243080835,strict_positive
2,3,3329,0.488481291269259,0.4967915236531861,5.490220631539209,1.7029684426081368,0.3267890448610975,0.48789593110644697,2.2778140897902883,2.7482096339438655,strict_positive
2,52,543,0.0796771826852531,0.945993031358885,10.454506992926548,2.347033176620652,0.07931638913234,0.07957160633519923,2.4209728042795087,2.693469795363335,strict_positive
2,36,215,0.0315480557593543,0.1717252396166134,1.897796980443909,0.6406937294739016,0.0273815588385124,0.03152618829973939,0.6552709422898833,1.2390329471233403,positive
20,28,1094,0.51530852567122,0.6893509766855702,24.45523730997349,3.1968443978891767,0.4181957186544342,0.5129914275654067,3.890514613258665,3.7327318994405556,strict_positive
20,37,346,0.1629769194536034,0.3000867302688638,10.645799383042618,2.365165390222325,0.1180887372013651,0.16228461807494007,2.5225579406224865,2.6505104221514517,strict_positive
20,74,65,0.0306170513424399,0.2490421455938697,8.834954873010975,2.178715998006603,0.0280293229840448,0.030489758298783178,2.2020425213326136,1.9890963960478234,positive
20,93,39,0.0183702308054639,0.3070866141732283,10.89412545758676,2.3882236951047147,0.0176390773405698,0.018292012428873898,2.4007304224100716,1.911648827516651,positive
22,27,228,0.1142284569138276,0.1336459554513482,5.042858283977099,1.6179730411683226,0.0656303972366148,0.11377194182572113,1.711837466713042,1.9873158781215907,strict_positive
